DLR1,DLR2,DLR3,DLR4
-106.337924,42.86758765,1622.543558,0
-106.333105,42.86319,1576.927848,1.02811487360496
-106.337044,42.854629,1565.517479,2.12693501020392
-106.336844,42.84665,1555.081696,3.03065058245048
-106.337039,42.837571,1572.491006,4.0406108622513
-106.344727,42.83113,1581.150861,5.09005898271036
-106.356918,42.827906,1571.948744,6.14954551812121
-106.366522,42.823101,1577.6728,7.10607022575089
-106.381501,42.81687,1592.108165,8.51899974165565
-106.389633,42.813948,1602.7872,9.25761138299348
-106.400083,42.811069,1599.8484,10.1686766161707
-106.412205,42.808806,1590.9572,11.1914951820965
-106.424259,42.806834,1578.197362,12.2001391867254
-106.433907,42.802608,1587.546,13.1233258288924
-106.443683,42.793218,1597.125708,14.4402449606937
-106.449184,42.787379,1623.0624,15.2297233413356
-106.454614,42.781537,1636.895335,16.0163155907373
-106.461129,42.789906,1644.7412,17.3985464448067
-106.460614,42.79543,1614.796998,18.0142288165139
-106.459585,42.8049,1572.72,19.0727727244135
-106.454731,42.813049,1641.921946,20.0743430129661
-106.452865,42.821399,1619.628,21.035041211637
-106.452235,42.830258,1603.003275,22.0263148824519
-106.445854,42.838719,1599.822303,23.1200447829027
-106.433356,42.841885,1588.9184,24.2366005304654
-106.423892,42.843219,1588,25.0266835481907
-106.415959,42.850288,1620.2272,26.0681145378107
-106.40647,42.855631,1622.368107,27.0620701196488
-106.39855,42.861851,1590.035216,28.0197116991874
-106.382731,42.862524,1573.1393,29.3163465831038
-106.368173,42.863692,1616.818239,30.5134515127146
-106.357689,42.865045,1620.246175,31.3810637182204
-106.350183,42.866028,1611.784487,32.0025229213026
-106.339243,42.868661,1614.9156,33.0046048424639
-106.337924,42.867587,1622.550537,33.2294511326714
