ELR1,ELR2,ELR3,ELR4
-108.745865,42.841582,1632.574853,0
-108.751122,42.8497,1634.114464,1.01365512883691
-108.760697,42.855146,1658.0348,2.01707440545704
-108.771759,42.860006,1696.00718,3.06893848060995
-108.77857,42.867249,1686.9036,4.05013851686042
-108.783592,42.874983,1688.736611,5.00281639766868
-108.789738,42.88478,1682.792,6.2017974002749
-108.794216,42.891957,1703.785228,7.07931182371573
-108.794902,42.90079,1709.055037,8.06940507971379
-108.794888,42.910259,1702.5968,9.12231293034051
-108.794872,42.920881,1694.8284,10.3034370697833
-108.79486,42.92807,1689.921792,11.1028179945622
-108.794902,42.938178,1677.2944,12.2267815140819
-108.800033,42.944544,1673.315822,13.086519811787
-108.810049,42.951398,1681.059814,14.2025065480962
-108.819814,42.95805,1685.986608,15.2881706361369
-108.827282,42.962268,1693.078935,16.0569348887333
-108.839991,42.965281,1697.955624,17.1500151577443
-108.851729,42.9675,1703.5512,18.1364620127098
-108.859823,42.972291,1696,19.0183490008987
-108.866251,42.981959,1690.973989,20.213823612094
-108.872442,42.991291,1693.631219,21.3672349648364
-108.863123,42.995791,1687.037003,22.3038099260915
-108.855075,42.997821,1681.353212,23.0057177379489
-108.834401,43.007585,1669.585458,25.0106767081565
-108.82128,43.014002,1660.138822,26.2941499720368
-108.821042,43.014102,1658.582559,26.3164677063764
-108.805043,43.021889,1647.876098,27.879043895915
-108.801962,43.023399,1647.1732,28.180588906914
-108.791992,43.02595,1643,29.0597678032905
-108.779974,43.025945,1637.364373,30.0366948963102
-108.774994,43.018762,1634.466667,31.2415311542691
-108.774988,43.010962,1658.54401,32.108878448325
-108.7748858,43.00294109,1687.582559,33.0049111656543
-108.7695241,42.99473193,1694.181936,34.0195096699099
-108.765265,42.985755,1682.908,35.0962222992961
-108.7703007,42.97715516,1682.821045,36.1684672131962
-108.775131,42.967839,1658,37.3449305420141
-108.775141,42.961848,1666.6528,38.011100429862
-108.784948,42.953854,1679.023512,39.3065257911611
-108.7925382,42.95079335,1686.882282,40.0154461424685
-108.794951,42.942348,1673.627074,41.0129263984375
-108.79486,42.92807,1689.921792,42.6434908596122
-108.794872,42.920881,1694.8284,43.4428717843911
-108.794872,42.910922,1701.147087,44.5502621724567
-108.794898,42.906181,1708.159212,45.0774503452632
-108.794907,42.897464,1706.83819,46.0467416467689
-108.791992,42.888379,1693.856945,47.1041728302327
-108.787341,42.880955,1677.562,48.0125350132431
-108.780132,42.869469,1684.432015,49.4183532902621
-108.775836,42.864066,1699.339721,50.1144510189817
-108.764788,42.856882,1666.709967,51.3439232792373
-108.756561,42.853376,1646.058429,52.119653423416
-108.747311,42.844027,1632.336505,53.4358347258116
-108.74584,42.841591,1632.538262,53.7440384172272
