GLR1,GLR2,GLR3,GLR4
-112.452612,42.864752,1361.936023,0
-112.461062,42.871164,1362,1.0575030282808
-112.469668,42.878526,1356.758628,2.13552666520196
-112.476831,42.884385,1354.0196,3.01343051493527
-112.478538,42.892685,1356.666,4.02182691398994
-112.495722,42.900178,1351.4008,5.6557583821586
-112.500536,42.902109,1349.634105,6.10282446069983
-112.510927,42.906309,1341.3372,7.06956307036364
-112.522097,42.909844,1351.925569,8.0641179843237
-112.529171,42.914102,1351.55,9.01744989829079
-112.517359,42.914156,1343.549708,10.0245351684771
-112.515745,42.923419,1359.3084,11.1426763495925
-112.51596,42.934487,1363.456,12.373706465926
-112.506109,42.934939,1355.2272,13.2380687881481
-112.496222,42.935021,1364.6008,14.0430181689524
-112.481321,42.93498,1367.017597,15.2560992629108
-112.472059,42.934987,1367,16.0101849217972
-112.466565,42.940091,1358.081502,17.0242363918318
-112.466556,42.949514,1359.947441,18.0720271139337
-112.46653,42.958173,1361.9308,19.0348814649393
-112.463982,42.967176,1359.554177,20.0789365610746
-112.459191,42.974818,1360.712596,21.0139336551644
-112.45216,42.985743,1362.028355,22.3567672901561
-112.448365,42.991538,1362.4632,23.0712698058058
-112.444321,43.000346,1363,24.1123730591366
-112.441765,43.010278,1361.3532,25.2361498635827
-112.439902,43.017598,1358.6472,26.0641900998502
-112.438023,43.02646,1357.256,27.0626726351128
-112.435388,43.035606,1357.324741,28.1029226651764
-112.432388,43.031445,1355.918554,29.0368934517097
-112.438098,43.022093,1355.8472,30.3759129094265
-112.439614,43.016322,1359,31.0293621161315
-112.442455,43.007595,1358,32.0685451520362
-112.444766,42.998537,1362,33.0931373956153
-112.44927,42.990164,1361.152371,34.0994486199156
-112.454479,42.982214,1361.908882,35.0797550373204
-112.459707,42.974003,1361.744288,36.0870707026518
-112.464421,42.96647,1355.4608,37.0084409337227
-112.475462,42.963994,1363.250955,38.081809858748
-112.488127,42.963985,1360.654,39.1123931764011
-112.496204,42.961859,1362.3076,40.0069601979717
-112.496217,42.950694,1363.5016,41.2484746786092
-112.496256,42.942744,1364,42.1324927429877
-112.496264,42.934511,1365.241076,43.0481360684935
-112.496095,42.92493,1362.058,44.1136004781154
-112.495974,42.91683,1361.5064,45.014384838581
-112.495741,42.906752,1355.202287,46.1351880525789
-112.488292,42.897142,1350.385827,47.5592221967762
-112.481529,42.894408,1352.4956,48.1884586735742
-112.476327,42.888567,1352.876581,49.0178297217357
-112.472761,42.880714,1351.034452,50.0327807025807
-112.465573,42.873537,1360.204,51.0263723862113
-112.457745,42.866746,1362.5712,52.0152007753912
-112.452612,42.864753,1361.933875,52.6337969960832
